origem,destino,valor
ABREOLANDIA,AEROLANDIA,40.0
ABREOLANDIA,ALDEOTA,40.0
ABREOLANDIA,ALTO ALEGRE (MESSEJANA),30.0
ABREOLANDIA,BEIRA MAR,50.0
ABREOLANDIA,CIDADE DOS FUNCIONARIOS,22.0
ABREOLANDIA,CONJUNTO ESPERANCA,50.0
ABREOLANDIA,ELISABETE II,30.0
ABREOLANDIA,JEREISSATI I,60.0
ABREOLANDIA,JOSE WALTER,35.0
ABREOLANDIA,MESSEJANA,25.0
ABREOLANDIA,MONTESE,40.0
ABREOLANDIA,SANTA FILOMENA,30.0
ABREOLANDIA,SANTA MARIA MESSEJANA,30.0
ABREOLANDIA,SAO CRISTOVAO,30.0
ABREOLANDIA,SAO JOAO DO TAUAPE,30.0
ABREOLANDIA,SHOPPING JOQUEI,50.0
ACADEMIA FORMA ATLETICA,AEROLANDIA,8.0
ACADEMIA FORMA ATLETICA,MESSEJANA,20.0
ACADEMIA FORMA ATLETICA,SAO JOAO DO TAUAPE,5.0
ACARACUZINHO (MARACANAU),ALDEOTA,45.0
ACARACUZINHO (MARACANAU),ALTO ALEGRE (MESSEJANA),35.0
ACARACUZINHO (MARACANAU),ALTO DA MANGUEIRA,15.0
ACARACUZINHO (MARACANAU),ANTONIO BEZERRA,40.0
ACARACUZINHO (MARACANAU),ASSAI ( MARACANAU ),15.0
ACARACUZINHO (MARACANAU),BARROSO I,35.0
ACARACUZINHO (MARACANAU),BEIRA MAR,50.0
ACARACUZINHO (MARACANAU),BOM JARDIM,25.0
ACARACUZINHO (MARACANAU),BONSUCESSO,40.0
ACARACUZINHO (MARACANAU),CASTELAO,30.0
ACARACUZINHO (MARACANAU),CEASA,15.0
ACARACUZINHO (MARACANAU),CENTRO,45.0
ACARACUZINHO (MARACANAU),COLONIA(MARACANAU),17.0
ACARACUZINHO (MARACANAU),CONJUNTO ESPERANCA,25.0
ACARACUZINHO (MARACANAU),GRANJA PORTUGAL,30.0
ACARACUZINHO (MARACANAU),HORTO (MARACANAU),20.0
ACARACUZINHO (MARACANAU),HOSPITAL MARACANAU,15.0
ACARACUZINHO (MARACANAU),JEREISSATI I,15.0
ACARACUZINHO (MARACANAU),JEREISSATI II,15.0
ACARACUZINHO (MARACANAU),JEREISSATI III,18.0
ACARACUZINHO (MARACANAU),JOQUEI CLUB,40.0
ACARACUZINHO (MARACANAU),JOSE WALTER,20.0
ACARACUZINHO (MARACANAU),MARACANAU (MARACANAU),15.0
ACARACUZINHO (MARACANAU),MARANGUAPE,30.0
ACARACUZINHO (MARACANAU),MARAPONGA,30.0
ACARACUZINHO (MARACANAU),MEIRELES,50.0
ACARACUZINHO (MARACANAU),MESSEJANA,35.0
ACARACUZINHO (MARACANAU),MONTESE,35.0
ACARACUZINHO (MARACANAU),NORTH SHOPPING MARACANAU,15.0
ACARACUZINHO (MARACANAU),NOVO MARACANAU,15.0
ACARACUZINHO (MARACANAU),PACATUBA,30.0
ACARACUZINHO (MARACANAU),PAJUCARA (MARACANAU),20.0
ACARACUZINHO (MARACANAU),PARANGABA,35.0
ACARACUZINHO (MARACANAU),PARQUE IRACEMA,35.0
ACARACUZINHO (MARACANAU),PIRATININGA(MARACANAU),15.0
ACARACUZINHO (MARACANAU),PRAIA DE IRACEMA,50.0
ACARACUZINHO (MARACANAU),RODOLFO TEOFILO,35.0
ACARACUZINHO (MARACANAU),RODOVIARIA (BORGE DE MELO),45.0
ACARACUZINHO (MARACANAU),SAO CRISTOVAO,35.0
ACARACUZINHO (MARACANAU),SAO JOAO DO TAUAPE,45.0
ACARACUZINHO (MARACANAU),SERRINHA,35.0
ACARACUZINHO (MARACANAU),SHOPPING RIO MAR (PAPICU),70.0
ACARACUZINHO (MARACANAU),SIQUEIRA I,25.0
ACARACUZINHO (MARACANAU),TIMBO (MARACANAU),15.0
ACARAPE,ALTO ALEGRE (MESSEJANA),90.0
ACARAPE,ALTO DA MANGUEIRA,70.0
ACARAPE,BANDEIRANTES (MARACANAU),70.0
ACARAPE,JEREISSATI I,70.0
ACARAPE,JEREISSATI II,70.0
ACARAPE,JEREISSATI III,70.0
ACARAPE,JOSE WALTER,100.0
ACARAPE,MESSEJANA,90.0
ACARAPE,NOVO MARACANAU,70.0
ACARAPE,PAJUCARA (MARACANAU),70.0
ACARAPE,PIRATININGA(MARACANAU),70.0
ACARAPE,PLANALTO AYRTON SENNA,100.0
ACARAPE,SIQUEIRA I,20.0
ACARAPE,TIMBO (MARACANAU),70.0
AEROLANDIA,ABREOLANDIA,40.0
AEROLANDIA,ACADEMIA FORMA ATLETICA,8.0
AEROLANDIA,AEROLANDIA,5.0
AEROLANDIA,AEROLANDIA,5.0
AEROLANDIA,AEROPORTO,20.0
AEROLANDIA,ALDEOTA,15.0
AEROLANDIA,ALTO ALEGRE (MESSEJANA),25.0
AEROLANDIA,ANTONIO BEZERRA,30.0
AEROLANDIA,AQUIRAZ,50.0
AEROLANDIA,ARACAPE,30.0
AEROLANDIA,BAIRRO DE FATIMA,12.0
AEROLANDIA,BARRA DO CEARA,30.0
AEROLANDIA,BARROSO I,20.0
AEROLANDIA,BASE AEREA (FORTALEZA),10.0
AEROLANDIA,BATALHAO 23 BC (13 DE MAIO ),15.0
AEROLANDIA,BEACH PARK,40.0
AEROLANDIA,BEIRA MAR,20.0
AEROLANDIA,BELA VISTA,20.0
AEROLANDIA,BENFICA,15.0
AEROLANDIA,BOM JARDIM,30.0
AEROLANDIA,CACA E PESCA,25.0
AEROLANDIA,CAIS DO PORTO,20.0
AEROLANDIA,CAJAZEIRAS,15.0
AEROLANDIA,CAMBEBA,17.0
AEROLANDIA,CARLITO PAMPLONA,25.0
AEROLANDIA,CARREFOUR (BARAO DE STUDART),15.0
AEROLANDIA,CASTELAO,15.0
AEROLANDIA,CASTELO ENCANTADO,20.0
AEROLANDIA,CENTRO,15.0
AEROLANDIA,CENTRO DE CONVECOES (WASHINGTON SOARES),15.0
AEROLANDIA,CIDADE 2000,20.0
AEROLANDIA,CIDADE DOS FUNCIONARIOS,15.0
AEROLANDIA,COACU,25.0
AEROLANDIA,COCO,15.0
AEROLANDIA,COLEGIO ATRIUS SJT,8.0
AEROLANDIA,CONJUNTO CEARA ,35.0
AEROLANDIA,CONJUNTO ESPERANCA,30.0
AEROLANDIA,CONJUNTO PALMEIRAS,25.0
AEROLANDIA,CRISTO REDENTOR,25.0
AEROLANDIA,CURIO,25.0
AEROLANDIA,DAMAS,18.0
AEROLANDIA,DE LOURDES,20.0
AEROLANDIA,DEMOCRITO ROCHA,20.0
AEROLANDIA,DIAS MACEDO,10.0
AEROLANDIA,DIONISIO TORRES,15.0
AEROLANDIA,DRAGAO DO MAR,20.0
AEROLANDIA,EDSON QUEIROZ,20.0
AEROLANDIA,EUSEBIO,40.0
AEROLANDIA,EXTRA (AGUANAMBI),12.0
AEROLANDIA,FARIAS BRITO,20.0
AEROLANDIA,FAROESTE,35.0
AEROLANDIA,FORUM (CLOVIS BEVILAQUA),15.0
AEROLANDIA,GAMEC ( CLINICA 13 MAIO ),15.0
AEROLANDIA,G BARBOSA (BORGES DE MELO),10.0
AEROLANDIA,GUARARAPES,15.0
AEROLANDIA,GVT (PONTES VIEIRA),8.0
AEROLANDIA,HEMOCE,20.0
AEROLANDIA,HENRIQUE JORGE,25.0
AEROLANDIA,HIPER BOMPRECO (BEZERRA),20.0
AEROLANDIA,HIPER BOMPRECO (BORGE DE MELO),12.0
AEROLANDIA,HOSPITAL ALBERT SABIEN,15.0
AEROLANDIA,HOSPITAL ANTONIO PRUDENTE (AGUANAMBI),10.0
AEROLANDIA,HOSPITAL DO CORACAO (MESSEJANA),20.0
AEROLANDIA,HOSPITAL FROTINHA DA PARANGABA,25.0
AEROLANDIA,HOSPITAL FROTINHA DE MESSEJANA,20.0
AEROLANDIA,HOSPITAL GERAL,18.0
AEROLANDIA,HOSPITAL GONZAGUINHA MESSEJANA,20.0
AEROLANDIA,HOSPITAL ICC (JOSE BASTOS),20.0
AEROLANDIA,HOSPITAL SAO MATEUS,18.0
